I
1000 Generated by WorldEditor

1     25 1 0 RJBB KANSAI INTL
100 54.19 1 1 0.25 1 3 1 06R  34.41806811  135.23047978    0   59 3 2 1 1 24L  34.43792908  135.26013508    0   62 3 2 1 1
100 56.53 1 1 0.25 1 3 1 06L  34.42923243  135.20752160    0   63 3 2 1 1 24R  34.45196720  135.24144374    0   60 3 2 1 1
102 H600  34.44008349  135.25811770 230.00 10.00 10.00 1 0 1 0.00 1
102 H601  34.44121488  135.26006295 230.00 10.00 10.00 1 0 1 0.00 1
102 H602  34.44103191  135.26024714 230.00 10.00 10.00 1 0 1 0.00 1
102 H603  34.44084581  135.26042422 230.00 10.00 10.00 1 0 1 0.00 1
102 H604  34.44066685  135.26065267 230.00 10.00 10.00 1 0 1 0.00 1
110 2 0.10 240.0000 06R-exit
111  34.41973179  135.22978981
111  34.41937395  135.22924267
111  34.41790551  135.23069133
111  34.41844251  135.23149111
111  34.41920812  135.23074653
112  34.41891886  135.23072778  34.41877211  135.23068622
111  34.41891886  135.23072778
112  34.41891886  135.23072778  34.41879063  135.23067292
111  34.41866936  135.23042954
111  34.41873770  135.23029008
111  34.41918818  135.22981852
112  34.41944003  135.22970969  34.41960461  135.22968808
113  34.41969438  135.22982456
110 2 0.10 240.0000 24R-exit
111  34.45157306  135.24038994
111  34.45119801  135.24075218
111  34.45143200  135.24110436
112  34.45147017  135.24123920  34.45147419  135.24133660
111  34.45134073  135.24151491
111  34.45078479  135.24205022
112  34.45056242  135.24214480  34.45043591  135.24215454
111  34.45032013  135.24206229
111  34.45027034  135.24209248
111  34.45059229  135.24256742
111  34.45080803  135.24257144
113  34.45215057  135.24123718
110 2 0.10 240.0000 06L-exit
111  34.42997056  135.20815759
111  34.42941922  135.20735946
111  34.42792292  135.20883598
111  34.42827392  135.20938685
111  34.42832202  135.20933480
112  34.42829823  135.20905036  34.42829894  135.20894626
111  34.42829823  135.20905036
112  34.42829823  135.20905036  34.42834067  135.20891012
111  34.42841803  135.20882101
111  34.42898583  135.20825900
112  34.42919292  135.20816921  34.42933599  135.20813824
111  34.42919292  135.20816921
112  34.42919292  135.20816921  34.42925571  135.20817949
111  34.42931227  135.20824950
112  34.42931227  135.20824950  34.42938263  135.20835127
113  34.42953717  135.20858657
110 2 0.10 240.0000 24L-exit
111  34.43888807  135.25833854
111  34.43886455  135.25835993
112  34.43890277  135.25865936  34.43887671  135.25885060
111  34.43881751  135.25887323
111  34.43820421  135.25954169
112  34.43798551  135.25917622  34.43796905  135.25899330
111  34.43801197  135.25877342
111  34.43722113  135.25954338
111  34.43779442  135.26040245
113  34.43925850  135.25889462
110 1 0.20 230.0000 Taxiway-Y-B
111  34.45132494  135.24118227
112  34.45121387  135.24147860  34.45114897  135.24155730
111  34.45077946  135.24189166
112  34.45054517  135.24196569  34.45038305  135.24198873
112  34.45020436  135.24172703  34.45020683  135.24172703
111  34.44834824  135.23897337
112  34.44823471  135.23853697  34.44826457  135.23829004
111  34.44878266  135.23788987
111  34.44906897  135.23777613
